[ Fecha:2015-12-17 07:58:17 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: Inicio nuevoUsuario
[ Fecha:2015-12-17 08:00:50 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: Inicio nuevoUsuario
[ Fecha:2015-12-17 08:00:50 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: Error: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ')VALUES
			('chris','chris','chris','6b34fe24ac2ff8103f6fce1f0da2ef57',NULL)' at line 1 | Fichero: /home/zubiri/Escritorio/Aitor/classes/chris_residuos/Residuos_chris/Modelo/Usuario.php | Línea: 192 [Error al insertar usuario]
[ Fecha:2015-12-17 08:02:37 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: Inicio nuevoUsuario
[ Fecha:2015-12-17 08:03:37 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: Inicio nuevoUsuario
[ Fecha:2015-12-17 08:06:55 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: Inicio nuevoUsuario
[ Fecha:2015-12-17 08:07:11 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: Inicio nuevoUsuario
[ Fecha:2015-12-17 08:11:43 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: Inicio nuevoUsuario
[ Fecha:2015-12-17 08:12:20 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: Inicio nuevoUsuario
[ Fecha:2015-12-17 08:12:31 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: Inicio nuevoUsuario
[ Fecha:2015-12-17 08:33:56 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: nom_empresa y/o correo  existentes en la BBDD -> KO
[ Fecha:2015-12-17 08:43:01 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: nom_empresa y/o correo  existentes en la BBDD -> KO
[ Fecha:2015-12-17 08:49:07 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: nom_empresa y/o correo  existentes en la BBDD -> KO
[ Fecha:2015-12-17 08:49:17 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: nom_empresa y/o correo  existentes en la BBDD -> KO
[ Fecha:2015-12-17 08:52:17 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: nom_empresa y/o correo  existentes en la BBDD -> KO
[ Fecha:2015-12-17 08:52:26 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: nom_empresa y/o correo  existentes en la BBDD -> KO
[ Fecha:2015-12-17 08:52:32 | Nav: Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 | IP: 127.0.0.1 | FILE: /Aitor/classes/chris_residuos/Residuos_chris/index.php | Tipo: debug] Msg: nom_empresa y/o correo  existentes en la BBDD -> KO
